tiempo,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0.0116005,-2.88626e-05,0.000472065,2.24808e-05,-3.94384e-05,-0.0005,9.93504e-05
0.0546693,-0.00335015,0.0550731,0.00211469,-0.00458778,-0.0578205,0.0115357
0.184348,-0.00337446,0.0561609,0.000535489,-0.00454817,-0.057302,0.0110911
0.398181,-0.00627843,0.102066,-0.00169186,-0.00654111,-0.100928,0.010517
0.461425,-0.0160699,0.261139,-0.0173819,-0.0131895,-0.24412,0.00795923
0.540533,-0.0160755,0.273092,-0.0399523,-0.0130788,-0.233454,0.00646702
0.633768,-0.0160499,0.287348,-0.0673306,-0.0130729,-0.22035,0.00586849
0.739134,-0.017357,0.328746,-0.107092,-0.0139896,-0.222043,0.00545949
0.837247,-0.0204914,0.41142,-0.171727,-0.0160551,-0.240197,0.00502768
0.922225,-0.0224501,0.478339,-0.242806,-0.0166724,-0.23615,0.00345949
1.00778,-0.0224037,0.506556,-0.301107,-0.0152423,-0.206146,0.000864549
1.0914,-0.0223584,0.536198,-0.362961,-0.0133126,-0.174031,-0.002277
1.17046,-0.019624,0.499256,-0.377257,-0.00955744,-0.122798,-0.0052686
1.26619,-0.0165995,0.447883,-0.371572,-0.00594416,-0.0770844,-0.00759936
1.36241,-0.0158063,0.451652,-0.40526,-0.00341133,-0.0472288,-0.0104516
1.44302,-0.0157835,0.476811,-0.457082,-0.00104036,-0.0206683,-0.0137729
1.5093,-0.0157646,0.501362,-0.507144,0.00126164,0.00474389,-0.0169832
1.56275,-0.0105181,0.35021,-0.369762,0.00225746,0.0187977,-0.0133162
1.6522,-0.0050154,0.173856,-0.189941,0.00167821,0.0156994,-0.0071967
1.7933,-0.00351008,0.12591,-0.141286,0.00153383,0.0150906,-0.0055456
1.893,-0.00350887,0.129022,-0.147438,0.00179678,0.0181198,-0.00591792
1.95626,-0.00350952,0.130616,-0.150551,0.00192881,0.0196324,-0.0061058
1.98618,-0.00351125,0.130816,-0.150892,0.00194116,0.0197728,-0.00612498
1.98886,2.41518e-18,-8.99806e-17,1.0379e-16,-1.33521e-18,-1.36005e-17,4.21301e-18
