tiempo,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0,6.71256e-06,-0.0004278,0.0005,-1.20661e-05,-7.46353e-05,1.84086e-05
0.00180141,0.00071359,-0.045478,0.0531534,-0.0012827,-0.00793423,0.00195696
0.188135,0.000540219,-0.0342265,0.0398432,-0.000955037,-0.00581331,0.00145861
0.503765,0.000540296,-0.0335774,0.0385677,-0.000903203,-0.00518905,0.00138462
0.965963,0.000598734,-0.0339055,0.038038,-0.000810629,-0.00431677,0.00133145
1.55331,0.00144362,-0.0588414,0.063698,-0.000829394,-0.00493238,0.00225463
1.7384,0.00402954,-0.132816,0.137747,-0.000678859,-0.00467948,0.00479839
1.97068,0.00407252,-0.126524,0.12499,-5.20293e-05,0.00178972,0.00400355
2.25552,0.00407793,-0.120024,0.111674,0.000560375,0.00858007,0.00314858
2.59912,0.00408431,-0.113543,0.0982634,0.00116684,0.0154831,0.00229459
2.99324,0.00463678,-0.121618,0.0966381,0.00195844,0.0251828,0.00168857
3.31597,0.00553708,-0.136895,0.0982938,0.00300315,0.0388118,0.00102215
3.63071,0.00577857,-0.134671,0.0858247,0.00369608,0.0490382,0.000175279
3.96111,0.00579045,-0.127194,0.0702868,0.00413139,0.0570763,-0.000567355
4.2938,0.00580249,-0.120053,0.0556345,0.00444069,0.0645695,-0.00117232
4.62083,0.00485758,-0.094703,0.0351908,0.00387026,0.0596259,-0.00137216
5.05443,0.00414231,-0.0761961,0.0212331,0.00336262,0.0550521,-0.00141969
5.44596,0.00414769,-0.0721741,0.0134925,0.00337981,0.0587651,-0.00160355
5.78728,0.00415392,-0.0686875,0.0068618,0.00336671,0.061905,-0.00173542
6.07033,0.00222535,-0.0352036,0.000773805,0.00178611,0.0344708,-0.000977731
6.72129,0.00115889,-0.0176911,-0.000750976,0.000920424,0.0184629,-0.000525892
7.36418,0.000929655,-0.0138529,-0.00120665,0.000732374,0.0150759,-0.00042987
7.67177,0.000929875,-0.0137104,-0.00146563,0.000729773,0.0151923,-0.000433225
7.70284,7.70036e-19,-1.13492e-17,-1.22164e-18,6.04244e-19,1.25843e-17,-3.58855e-19
