tiempo,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0.00518177,-1.10822e-05,-9.91227e-05,0.0005,-1.30092e-05,-0.000405036,-7.20456e-06
0.0223784,-0.00322052,-0.0288044,0.1453,-0.00378053,-0.117704,-0.00209368
0.0740049,-0.00321838,-0.0275433,0.142976,-0.00379094,-0.116641,-0.00209675
0.16226,-0.00321624,-0.0242814,0.137071,-0.00382295,-0.113999,-0.00210538
0.292861,-0.00353628,-0.0253882,0.164314,-0.00372471,-0.140042,-0.00129504
0.405679,-0.00499019,-0.0382415,0.301853,-0.00319086,-0.264298,0.00228877
0.457432,-0.00734423,-0.0419512,0.494584,-0.00247124,-0.452629,0.00768073
0.523266,-0.00733271,-0.0105121,0.438983,-0.0027612,-0.428477,0.00704013
0.604961,-0.0073184,0.0222371,0.381517,-0.0030835,-0.40377,0.00642224
0.704587,-0.00775536,0.0580395,0.345252,-0.00363411,-0.403318,0.00622792
0.803915,-0.00912014,0.107226,0.339786,-0.00470683,-0.447052,0.00673444
0.885967,-0.0102188,0.161264,0.311161,-0.00574084,-0.47248,0.00698123
0.970105,-0.0101904,0.198629,0.246328,-0.00614925,-0.44502,0.00647807
1.05556,-0.0101617,0.233236,0.185852,-0.00650517,-0.419158,0.00602069
1.14128,-0.00877464,0.229682,0.11196,-0.00588487,-0.341709,0.00483434
1.25081,-0.00744091,0.216632,0.056967,-0.00516033,-0.27366,0.00379352
1.35708,-0.00716553,0.227418,0.021727,-0.0050752,-0.249209,0.00335769
1.4489,-0.00715025,0.242878,-0.006819,-0.00511543,-0.236128,0.00306625
1.52378,-0.00383487,0.137125,-0.0160805,-0.00274911,-0.121084,0.0015072
1.69171,-0.00198475,0.0736335,-0.013195,-0.00141927,-0.0604594,0.000721445
1.85129,-0.00158963,0.06034,-0.0130831,-0.0011328,-0.0472743,0.000545787
1.92667,-0.001589,0.0608817,-0.0141235,-0.00113021,-0.0467757,0.000531813
1.93384,-4.41175e-21,1.6908e-19,-3.92977e-20,-3.13778e-21,-1.29831e-19,1.47542e-21
