tiempo,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0,5.40988e-06,-0.0005,0.000163063,-2.41102e-05,0.000332082,-1.6095e-05
0.135775,0.000184763,-0.017015,0.00545515,-0.000821107,0.011394,-0.000554279
0.587707,0.000182864,-0.0163751,0.00486423,-0.000782534,0.0113501,-0.000555265
1.35571,0.000484482,-0.025352,0.00523519,-0.0004023,0.0199872,-0.000598801
1.70156,0.00147662,-0.0539095,0.0048974,0.000841995,0.0489875,-0.000726262
2.00675,0.00184762,-0.0612711,-0.000911083,0.00131835,0.0621994,-0.000820017
2.37493,0.00185171,-0.0571044,-0.00856319,0.00130354,0.0656836,-0.000895017
2.7967,0.00202899,-0.0570876,-0.0189958,0.00139306,0.0760996,-0.0010632
3.17981,0.0024076,-0.060492,-0.0350753,0.00159205,0.0955849,-0.00135976
3.51097,0.00262619,-0.0573434,-0.0530324,0.00165097,0.110393,-0.00159271
3.83996,0.00263358,-0.0482066,-0.0689541,0.00155452,0.117176,-0.00171352
4.16314,0.00264087,-0.0383015,-0.0861171,0.00144523,0.124432,-0.00184912
4.47783,0.0022278,-0.0231083,-0.08823,0.00111508,0.111347,-0.00169009
4.89576,0.00190247,-0.0114916,-0.0893832,0.000861778,0.100881,-0.00157225
5.2595,0.00189092,-0.00289134,-0.103496,0.000767524,0.106391,-0.00171049
5.55647,0.00189438,0.00552616,-0.118306,0.000686465,0.11278,-0.0018738
5.79419,0.00189717,0.0135113,-0.132465,0.000614417,0.118952,-0.00204016
5.97955,0.000805116,0.00883141,-0.0616937,0.000234128,0.0528603,-0.000933148
6.55893,0.00044191,0.00635793,-0.0365532,0.00011624,0.0301936,-0.000546487
7.00268,0.000424533,0.00729298,-0.0372383,0.000102476,0.0299433,-0.000552746
7.29481,0.000424802,0.0079998,-0.0385235,9.72437e-05,0.0305214,-0.000569821
7.45446,0.000425096,0.00817402,-0.0388534,9.6043e-05,0.030677,-0.000574242
7.48972,-8.26633e-19,-1.5895e-17,7.55534e-17,-1.86763e-19,-5.96538e-17,1.11666e-18
