tiempo,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0.00911368,-0.831383,1.06817,-0.516965,-0.0750933,0.98561,8.62989e-05,-2.97479e-05,0.000473537,2.13115e-05,-3.56315e-05,-0.0005,9.49897e-05
0.0522606,-0.831531,1.07054,-0.516859,-0.0752715,0.98311,0.000561248,-0.00344664,0.0551429,0.00197661,-0.00413702,-0.0577162,0.0110073
0.182137,-0.831979,1.07771,-0.516623,-0.0758091,0.975623,0.00199081,-0.00345174,0.0559991,0.000396422,-0.00410124,-0.0569664,0.0105642
0.397471,-0.832723,1.08987,-0.516722,-0.0766873,0.963444,0.00420813,-0.0063697,0.102413,-0.00185328,-0.0062012,-0.101086,0.0100956
0.462575,-0.833765,1.10643,-0.517143,-0.0775482,0.947275,0.004822,-0.0160532,0.260909,-0.017711,-0.0131274,-0.24356,0.00793346
0.543221,-0.835063,1.1279,-0.519303,-0.0786006,0.927946,0.00536443,-0.0160747,0.273495,-0.0407215,-0.0130799,-0.233089,0.00645131
0.637829,-0.836582,1.15436,-0.52428,-0.0798405,0.906425,0.00595262,-0.0160488,0.287962,-0.0685231,-0.0130696,-0.219773,0.00583961
0.744403,-0.838291,1.18583,-0.533089,-0.0812299,0.883731,0.00653925,-0.0174928,0.332212,-0.10965,-0.0140863,-0.222955,0.00545279
0.841602,-0.840147,1.22206,-0.546623,-0.0827109,0.860993,0.00706374,-0.0206702,0.416257,-0.175678,-0.0161617,-0.24109,0.00498677
0.926853,-0.842063,1.26178,-0.565141,-0.0841786,0.839744,0.00744909,-0.0224476,0.479821,-0.245847,-0.0166077,-0.234594,0.0033335
1.01251,-0.843983,1.30407,-0.588641,-0.0855493,0.820898,0.00763348,-0.0224012,0.50814,-0.3044,-0.0151496,-0.204442,0.00070672
1.09592,-0.84585,1.34769,-0.616605,-0.0867399,0.80518,0.00756857,-0.022356,0.5379,-0.366524,-0.0131899,-0.172176,-0.00246879
1.17472,-0.84761,1.39132,-0.648096,-0.0876889,0.79297,0.00723301,-0.0194317,0.495992,-0.376904,-0.00933373,-0.119885,-0.00541145
1.27186,-0.849269,1.43495,-0.682919,-0.0883821,0.784087,0.00661646,-0.0164526,0.445354,-0.371219,-0.005767,-0.0749065,-0.00771228
1.3673,-0.850778,1.47708,-0.719582,-0.0887994,0.778545,0.00574785,-0.0158049,0.453044,-0.408141,-0.00328071,-0.0457459,-0.0106353
1.44707,-0.852038,1.51433,-0.754427,-0.0889569,0.776072,0.0047531,-0.0157824,0.478199,-0.459925,-0.000909031,-0.0192184,-0.0139561
1.5126,-0.853071,1.54657,-0.78641,-0.0889315,0.775752,0.00372001,-0.0157636,0.502702,-0.509861,0.00138606,0.00611589,-0.0171567
1.56537,-0.853903,1.5738,-0.814746,-0.088793,0.776796,0.00272339,-0.00997564,0.332947,-0.352284,0.00221239,0.0186191,-0.0127295
1.66124,-0.854554,1.59606,-0.838774,-0.0886027,0.77852,0.00182787,-0.00485306,0.168571,-0.18447,0.00165332,0.0155247,-0.00700533
1.79988,-0.855041,1.61333,-0.858006,-0.0884052,0.780436,0.00108056,-0.00350996,0.126116,-0.141694,0.00155125,0.015292,-0.00557026
1.89744,-0.855383,1.62584,-0.872242,-0.0882363,0.782132,0.000512195,-0.00350886,0.129152,-0.147695,0.00180772,0.0182453,-0.00593344
1.9588,-0.855598,1.63386,-0.881477,-0.088118,0.783336,0.00013765,-0.0035096,0.130657,-0.150629,0.00193202,0.0196691,-0.00611042
1.98687,-0.855697,1.63753,-0.885713,-0.0880635,0.783891,-3.42835e-05,-0.00351133,0.130819,-0.150896,0.00194121,0.0197732,-0.00612512
1.98886,-0.855704,1.63779,-0.886014,-0.0880596,0.78393,-4.65122e-05,2.41897e-18,-9.01218e-17,1.03953e-16,-1.33731e-18,-1.36218e-17,4.21962e-18
