tiempo,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0,-0.855279,1.64051,-0.8901,-0.0873131,0.785409,-4.80941e-05,7.52451e-06,-0.000426001,0.0005,-1.1866e-05,-7.39675e-05,1.90304e-05
0.0151324,-0.855241,1.63838,-0.8876,-0.0873724,0.785039,4.70579e-05,0.000753714,-0.0426716,0.0500839,-0.00118859,-0.00740917,0.00190623
0.199665,-0.855128,1.63199,-0.8801,-0.0875504,0.78393,0.000332514,0.000611477,-0.0344158,0.0402352,-0.000948187,-0.00581742,0.00152353
0.512206,-0.854937,1.62128,-0.8676,-0.0878437,0.782148,0.000804365,0.00061158,-0.0337647,0.0389561,-0.000896074,-0.00519158,0.00144926
0.969739,-0.854657,1.60599,-0.850101,-0.0882404,0.779932,0.00144855,0.000665306,-0.034041,0.0383564,-0.000802798,-0.00431192,0.00139056
1.55285,-0.854245,1.58585,-0.827685,-0.0886792,0.77766,0.00225143,0.00149692,-0.0589866,0.0639932,-0.000823916,-0.00493467,0.00230287
1.73717,-0.853508,1.56072,-0.80099,-0.0888727,0.776145,0.00321584,0.00403652,-0.13287,0.137858,-0.000681962,-0.00471528,0.00480942
1.96865,-0.852566,1.5306,-0.770362,-0.0889627,0.7757,0.00425122,0.00407248,-0.126574,0.125093,-5.67433e-05,0.00173752,0.00401012
2.25261,-0.851409,1.49548,-0.736512,-0.088902,0.77704,0.00528283,0.00407787,-0.120085,0.111799,0.000554621,0.00851591,0.00315663
2.59524,-0.850011,1.45536,-0.70031,-0.0886152,0.781036,0.00622912,0.00408424,-0.113606,0.0983949,0.00116098,0.0154151,0.00230289
2.98895,-0.848402,1.41183,-0.66406,-0.0880471,0.788391,0.00697855,0.0046287,-0.121482,0.0966239,0.00194874,0.0250602,0.00169487
3.31275,-0.84669,1.3682,-0.630982,-0.087217,0.799017,0.0074452,0.00552607,-0.136708,0.0982726,0.00299085,0.0386458,0.00102984
3.6273,-0.844874,1.32456,-0.601328,-0.0861379,0.813061,0.00763595,0.00577845,-0.134752,0.0859936,0.0036908,0.0489504,0.000183874
3.9576,-0.842964,1.2813,-0.575529,-0.0848369,0.830582,0.00756378,0.00579032,-0.127271,0.0704462,0.00412746,0.0569942,-0.000560246
4.29031,-0.841035,1.24018,-0.554621,-0.0834014,0.850848,0.0072645,0.00580237,-0.120127,0.0557837,0.00443807,0.0644938,-0.00116665
4.61745,-0.839135,1.20204,-0.53872,-0.0819085,0.873138,0.00679396,0.00486605,-0.0949272,0.0353669,0.00387585,0.0596743,-0.00137098
5.05005,-0.837338,1.16806,-0.527751,-0.0804567,0.896186,0.0062229,0.00414914,-0.0763679,0.0213557,0.00336781,0.0551015,-0.00141977
5.44208,-0.835714,1.13906,-0.521109,-0.0791313,0.918577,0.00562317,0.00414762,-0.0722137,0.0135684,0.00337981,0.0587287,-0.0016019
5.78397,-0.834294,1.11506,-0.517793,-0.0779762,0.939288,0.00504724,0.00415386,-0.0687214,0.00692577,0.00336695,0.061875,-0.00173426
6.06768,-0.833115,1.09607,-0.516777,-0.0770249,0.957286,0.00453822,0.0022442,-0.0355171,0.000807807,0.00180144,0.0347506,-0.000985595
6.71271,-0.83221,1.08207,-0.517043,-0.0763031,0.971562,0.00413188,0.00116594,-0.0178046,-0.000745311,0.000926124,0.0185708,-0.000528954
7.35917,-0.831609,1.07307,-0.517739,-0.0758288,0.98127,0.00385508,0.000929651,-0.0138553,-0.00120228,0.000732416,0.015074,-0.000429813
7.67024,-0.83132,1.06881,-0.518194,-0.0756018,0.985996,0.00372032,0.000929875,-0.013711,-0.00146457,0.000729784,0.0151918,-0.000433211
7.70284,-0.83129,1.06836,-0.518243,-0.075578,0.986491,0.0037062,2.93791e-18,-4.33003e-17,-4.66089e-18,2.30536e-18,4.80127e-17,-1.36914e-18
