tiempo,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0.00351047,0.735314,1.02074,-0.960244,-0.030937,1.45955,1.53074,-1.18858e-05,-9.8837e-05,0.0005,-1.43037e-05,-0.000404273,-7.10418e-06
0.0207357,0.735255,1.02025,-0.957744,-0.0310086,1.45753,1.5307,-0.00344831,-0.0286738,0.145059,-0.00414981,-0.117287,-0.00206107
0.0724482,0.735076,1.01877,-0.950244,-0.0312231,1.45146,1.53059,-0.00344601,-0.0274178,0.142744,-0.00416031,-0.116229,-0.00206133
0.160845,0.734772,1.01641,-0.937745,-0.0315914,1.44124,1.53041,-0.00344367,-0.0241584,0.136843,-0.00419312,-0.113588,-0.00206248
0.291669,0.734321,1.01347,-0.920246,-0.0321423,1.42656,1.53014,-0.00374073,-0.0251875,0.163519,-0.00406981,-0.139167,-0.00126257
0.405449,0.733857,1.01025,-0.897747,-0.0325869,1.4072,1.5301,-0.00510434,-0.0380122,0.30015,-0.00341057,-0.262654,0.00228028
0.457182,0.733476,1.00718,-0.870567,-0.0327068,1.38309,1.53052,-0.00734428,-0.0420823,0.494817,-0.00247008,-0.45273,0.0076835
0.522994,0.732993,1.0053,-0.839584,-0.0328773,1.35398,1.53101,-0.00733275,-0.0106315,0.439194,-0.00276006,-0.428568,0.00704249
0.604663,0.732395,1.00561,-0.805794,-0.0331139,1.31988,1.53156,-0.00731845,0.0221275,0.381708,-0.00308239,-0.403852,0.00642422
0.70426,0.731667,1.00931,-0.770393,-0.033436,1.28078,1.53217,-0.00775169,0.0579066,0.345269,-0.00363125,-0.403202,0.00622666
0.803674,0.730852,1.01713,-0.737082,-0.0338365,1.23964,1.5328,-0.00911536,0.107055,0.339802,-0.00470307,-0.446898,0.00673256
0.885719,0.730013,1.02874,-0.708733,-0.0342894,1.19969,1.53339,-0.0102189,0.161148,0.311362,-0.00573955,-0.472565,0.00698283
0.969852,0.729154,1.04391,-0.68534,-0.0347903,1.16111,1.53396,-0.0101905,0.198522,0.246514,-0.00614811,-0.445099,0.00647948
1.05531,0.728285,1.0624,-0.666927,-0.0353321,1.1242,1.53449,-0.0101618,0.233136,0.186027,-0.0065042,-0.419233,0.00602202
1.14102,0.727415,1.08382,-0.653498,-0.0359037,1.08935,1.53499,-0.0087792,0.229721,0.112158,-0.00588722,-0.341945,0.00483793
1.25048,0.726571,1.10724,-0.645037,-0.0364811,1.05746,1.53543,-0.00744446,0.216673,0.0571025,-0.00516238,-0.273837,0.00379625
1.35678,0.725809,1.13057,-0.641177,-0.0370175,1.03027,1.53581,-0.00716558,0.227368,0.0218196,-0.005075,-0.249251,0.00335858
1.44865,0.725151,1.1523,-0.640713,-0.0374868,1.00807,1.5361,-0.00715029,0.242837,-0.0067415,-0.00511537,-0.236163,0.00306709
1.52358,0.724616,1.17107,-0.642302,-0.0378707,0.990875,1.53632,-0.00384391,0.13743,-0.0160856,-0.00275559,-0.121384,0.00151114
1.6911,0.724219,1.18562,-0.644613,-0.0381549,0.97864,1.53647,-0.00198824,0.0737567,-0.0132062,-0.00142179,-0.0605715,0.000722867
1.85094,0.723965,1.19522,-0.646625,-0.0383362,0.971046,1.53655,-0.00158963,0.0603374,-0.0130781,-0.00113281,-0.0472767,0.000545854
1.92657,0.723845,1.19982,-0.647693,-0.0384216,0.967508,1.5366,-0.001589,0.0608812,-0.0141225,-0.00113021,-0.0467763,0.000531828
1.93384,0.723833,1.20027,-0.647796,-0.0384299,0.967168,1.5366,-4.41175e-21,1.6908e-19,-3.92977e-20,-3.13778e-21,-1.29831e-19,1.47542e-21
