tiempo,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0,0.724177,1.20189,-0.650502,-0.0367837,0.968489,1.53708,5.38583e-06,-0.0005,0.000162977,-2.42781e-05,0.000332426,-1.31158e-05
0.136864,0.724204,1.19939,-0.649687,-0.036905,0.970151,1.53701,0.000183586,-0.0169821,0.00544151,-0.000825234,0.0113838,-0.0004517
0.588847,0.724285,1.19189,-0.647298,-0.0372696,0.975192,1.53681,0.000182097,-0.016373,0.00486016,-0.000787741,0.0113607,-0.000456904
1.35693,0.724426,1.17942,-0.643758,-0.0378661,0.984012,1.53646,0.000484629,-0.0253748,0.00523362,-0.00040573,0.0200188,-0.000517798
1.70197,0.724824,1.16365,-0.641472,-0.0377212,0.997476,1.53624,0.00147912,-0.0539879,0.00489409,0.000843798,0.0490716,-0.000703337
2.00733,0.725388,1.1443,-0.640575,-0.0373173,1.01593,1.536,0.00184762,-0.0612647,-0.000923022,0.00131834,0.0622049,-0.00082014
2.37565,0.726069,1.12237,-0.642094,-0.0368331,1.03938,1.53568,0.00185172,-0.0570961,-0.00857825,0.0013035,0.0656904,-0.000895157
2.79754,0.726851,1.09918,-0.647353,-0.0362873,1.06784,1.53529,0.00202961,-0.0570943,-0.0190205,0.0013934,0.076131,-0.00106368
3.18044,0.727702,1.07642,-0.657402,-0.0357117,1.10065,1.53483,0.00240845,-0.0604987,-0.0351125,0.00159248,0.0956289,-0.00136043
3.5116,0.728571,1.05598,-0.672426,-0.0351502,1.13612,1.53432,0.0026262,-0.0573265,-0.0530619,0.0016508,0.110406,-0.00159293
3.84059,0.729436,1.03858,-0.69243,-0.0346219,1.17354,1.53378,0.00263359,-0.0481884,-0.0689857,0.00155432,0.11719,-0.00171376
4.16375,0.730288,1.02456,-0.717415,-0.0341365,1.21255,1.5332,0.00264088,-0.0382817,-0.0861514,0.00144501,0.124447,-0.0018494
4.47842,0.731121,1.01416,-0.747381,-0.0337002,1.25291,1.5326,0.0022271,-0.0230828,-0.0882331,0.00111453,0.111325,-0.00168982
4.89653,0.73192,1.00764,-0.78207,-0.0333198,1.29412,1.53196,0.0019019,-0.0114719,-0.0893838,0.000861343,0.100861,-0.00157203
5.26013,0.732607,1.0052,-0.817253,-0.0330269,1.33176,1.53137,0.00189093,-0.0028749,-0.103525,0.000767361,0.106403,-0.00171079
5.55698,0.733169,1.00574,-0.850443,-0.032813,1.3644,1.53083,0.00189439,0.00554203,-0.118334,0.000686317,0.112792,-0.00187412
5.79459,0.73362,1.00816,-0.880498,-0.0326601,1.39204,1.53037,0.00189718,0.013526,-0.132491,0.000614288,0.118963,-0.00204047
5.97986,0.733972,1.01146,-0.906471,-0.0325533,1.41471,1.52997,0.000804034,0.0088252,-0.0616209,0.000233767,0.0527937,-0.000932021
6.55995,0.734235,1.01491,-0.927659,-0.0324812,1.43245,1.52965,0.000441456,0.00635413,-0.0365205,0.000116099,0.0301647,-0.000545989
7.00338,0.734423,1.01797,-0.943851,-0.0324344,1.44558,1.52941,0.000424533,0.00729484,-0.0372417,0.000102462,0.0299448,-0.000552791
7.29524,0.734547,1.02028,-0.955043,-0.0324058,1.45446,1.52925,0.000424803,0.00800066,-0.0385251,9.72374e-05,0.0305221,-0.000569842
7.45464,0.734615,1.02158,-0.961235,-0.0323905,1.45935,1.52915,0.000425097,0.00817403,-0.0388534,9.60431e-05,0.030677,-0.000574242
7.48972,0.73463,1.02187,-0.962599,-0.0323872,1.46043,1.52913,-7.68768e-19,-1.47824e-17,7.02647e-17,-1.7369e-19,-5.5478e-17,1.03849e-18
